| model_name                       |Num of params |  UAR  | weight_decay                    |
|--------------------------------------|--------------|--------|--------------------------------|
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5547 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5319 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5273 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5514 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5410 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5228 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5189 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5378 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5462 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5202 | 7.0e-05 |
| Final:LSTM_MV-Att_OPTUNA_num1_H32_8_classes |       10,600 | 0.5352 +/- 0.0123| 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5221 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5208 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5371 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5410 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5280 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5319 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5260 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5299 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5358 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5482 | 7.0e-05 |
| Final:LSTM_MV-Att_OPTUNA_num2_H32_8_classes |       10,632 | 0.5321 +/- 0.0081| 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num4_H32_8_classes |       10,696 | 0.5169 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num4_H32_8_classes |       10,696 | 0.5339 | 7.0e-05 |
| LSTM_MV-Att_OPTUNA_num4_H32_8_classes |       10,696 | 0.5293 | 7.0e-05 |
